Group name,id,Group type,Address line 1,Address line 2,Town/city,County,Country,Postcode,Website,Telephone,Group region,Group parent code
Royal National Orthopaedic Hospital NHS Trust,ff8dbd50-9d7c-4d19-b4e1-f9bd08403fad,NHS Trust/Health Board,Royal National Orthopaedic Hospital,,Stanmore,Greater London,United Kingdom,HA7 4LP,https://www.rnoh.nhs.uk,,North Thames,RAN
Royal Papworth Hospital NHS Foundation Trust,eb5e2d1e-3d4e-4ebb-ae46-a9a6d9c47cc9,NHS Trust/Health Board,Royal Papworth Hospital,,Cambridge,Cambridgeshire,United Kingdom,CB2 0AY,,01223 638580,East of England,RGM
Royal Surrey NHS Foundation Trust,ccb39337-abec-463b-8561-fd57989cbcb4,NHS Trust/Health Board,Royal Surrey County Hospital,,Guildford,Surrey,United Kingdom,GU2 7XX,,01483 406701,South East & Wessex,RA2
Royal United Hospitals Bath NHS Foundation Trust,58782ee7-34b4-48e0-b41f-cd4525b448da,NHS Trust/Health Board,Royal United Hospital,,Bath,Somerset,United Kingdom,BA1 3NG,http://www.bsuh.nhs.uk,01225 428331,South East & Wessex,RD1
Salisbury NHS Foundation Trust,cd095894-fb3f-4e1a-afec-9e9d47e7875b,NHS Trust/Health Board,Salisbury District Hospital,,Salisbury,Wiltshire,United Kingdom,SP2 8BJ,http://www.salisbury.nhs.uk/Pages/home.aspx,01722 336262 EXT 4474,South East & Wessex,RNZ
Sandwell and West Birmingham NHS Trust,f97dc3c9-b3b6-4931-809a-cb7d6a40a830,NHS Trust/Health Board,Midland Metropolitan University Hospital,,Smethwick,West Midlands,United Kingdom,B66 2QT,https://www.swbh.nhs.uk/mmuh/,0121 507 4427,West Midlands,RXK
Sheffield Children's NHS Foundation Trust,48814786-767f-4b44-9cc5-363216727d31,NHS Trust/Health Board,Sheffield Children's Hospital,,Sheffield,South Yorkshire,United Kingdom,S10 2TH,https://www.sth.nhs.uk,0114 271 7438,Yorkshire and the Humber,RCU
Sheffield Teaching Hospitals NHS Foundation Trust,35108dca-084b-4c49-8430-512638ea091d,NHS Trust/Health Board,Northern General Hospital,,Sheffield,South Yorkshire,United Kingdom,S5 7AU,https://www.sth.nhs.uk,0114 2712 779,Yorkshire and the Humber,RHQ
Sherwood Forest Hospitals NHS Foundation Trust,1f9e6294-bedf-4a71-8da0-df6b5ebe1c6b,NHS Trust/Health Board,King's Mill Hospital,,Sutton in Ashfield,Nottinghamshire,United Kingdom,NG17 4JL,https://www.kch.nhs.uk/service/a-z/nuclear-medicine,01623 622515 ext 3205,East Midlands,RK5
Simbec-Orion Group Ltd,a395e5e3-add3-46ef-8292-fce1a10f4a55,Private healthcare/imaging group,Simbec House,"Merthyr Tydfil Industrial Park, Pentrebach",Merthyr Tydfil,Merthyr Tydfil,United Kingdom,CF48 4DR,https://www.simbecorion.com/,01753 578080,South Wales,
Somerset NHS Foundation Trust,9ac47ec3-079b-445d-bc75-92cb6e648c0c,NHS Trust/Health Board,Musgrove Park Hospital,,Taunton,Somerset,United Kingdom,TA1 5DA,https://www.somersetft.nhs.uk/musgrove-park-hospital/,01823 342258,South East & Wessex,RH5
South Eastern Health and Social Care Trust,ec8eb6e9-95d2-402c-b78d-42130f8c91da,NHS Trust/Health Board,Trust Headquarters,"Ulster Hospital, Upper Newtownards Road",Dundonald,County Down,United Kingdom,BT16 1RH,https://setrust.hscni.net/contact-us/,028 9055 3100,Northern Ireland,SEHSCT
South Tees Hospitals NHS Foundation Trust,276424e0-3c86-4357-af83-c9c901b3bc60,NHS Trust/Health Board,The James Cook University Hospital,,Middlesbrough,North Yorkshire,United Kingdom,TS4 3BW,https://www.southtees.nhs.uk/hospitals/james-cook/,01642 854779,North East,RTR
South Tyneside and Sunderland NHS Foundation Trust,661dbe8d-cf91-45f1-8d98-c8aed960ece1,NHS Trust/Health Board,Sunderland Royal Hospital,Kayll Road,Sunderland,Tyne and Wear,United Kingdom,SR4 7TP,https://www.stsft.nhs.uk/,+44 1915 656 256,North East,R0B
South Warwickshire University NHS Foundation Trust,5a906076-0ce2-4881-8327-6a884304fa5e,NHS Trust/Health Board,Lakin Road,,Warwick,Warwickshire,United Kingdom,CV34 5BW,https://www.swft.nhs.uk/about-us/contact-us,01926 495321,West Midlands,RJC
Southern Health and Social Care Trust,c6b5ad9a-99f2-4466-88a1-37153d81c3ac,NHS Trust/Health Board,Trust Headquarters,"Craigavon Area Hospital, 68 Lurgan Road",Portadown,County Armagh,United Kingdom,BT63 5QQ,https://southerntrust.hscni.net/,+44 2837 568 888,Northern Ireland,SHSCT
Spire Healthcare Limited,f993b63f-56dd-41a3-8ead-c8001dcd6a19,Private healthcare/imaging group,3 Dorset Rise,,London,Greater London,United Kingdom,EC4Y 8EN,https://www.spirehealthcare.com/,0800 169 1777,North Thames,
St George's University Hospitals NHS Foundation Trust,373625f1-d4bb-4e7d-96b5-40889b57f6a6,NHS Trust/Health Board,St George's Hospital,,London,Greater London,United Kingdom,SW17 0QT,https://www.stgeorges.nhs.uk/service/diagnostic-services/radiology/nuclear-medicine/,020 8725 1804,South Thames,RJ7
Stockport NHS Foundation Trust,610058a2-a245-4e72-9a59-2bd2f97b2508,NHS Trust/Health Board,Stepping Hill Hospital Stockport,,Hazel Grove,Greater Manchester,United Kingdom,SK2 7JE,,0161 419 5974,North West,RWJ
Surrey and Sussex Healthcare NHS Trust,df4ef12e-0ac2-4ce8-aea1-4d41f9478de8,NHS Trust/Health Board,East Surrey Hospital,,Redhill,Surrey,United Kingdom,RH1 5RH,,01737 768511 Ext:6001,South East & Wessex,RTP
Swansea Bay University Health Board,ff85103f-67c0-4656-b757-8b9ade1041c8,NHS Trust/Health Board,One Talbot Gateway,Baglan Energy Park,Port Talbot,South Wales,United Kingdom,SA12 7BR,https://sbuhb.nhs.wales/,+44 1639 683 344,South Wales,7A3
Tameside and Glossop Integrated Care NHS Foundation Trust,5121906c-84ff-4625-af92-8c2af1e836b0,NHS Trust/Health Board,Tameside General Hospital,,Ashton-under-Lyne,Greater Manchester,United Kingdom,OL6 9RW,http://www.tamesidehospital.nhs.uk/pages/ourservicesradiology.asp,0161 331 6605,North West,RMP
The Christie NHS Foundation Trust,2881a424-8982-4144-b071-05f6e2837a8a,NHS Trust/Health Board,The Christie,Wilmslow Road,Manchester,Greater Manchester,United Kingdom,M20 4BX,https://www.christie.nhs.uk/,+44 1614 463 000,North West,RBV
The Clatterbridge Cancer Centre NHS Foundation Trust,e8baf84b-8910-4dfc-8d18-eae6b0693663,NHS Trust/Health Board,Clatterbridge Cancer Centre,,Bebington,Merseyside,United Kingdom,CH63 7PJ,https://www.clatterbridgecc.nhs.uk/,01515565770,North West,REN
The Dudley Group NHS Foundation Trust,d99d09c5-89ed-4f1c-bc22-187ab9e83bcc,NHS Trust/Health Board,Russells Hall Hospital,,Dudley,West Midlands,United Kingdom,DY1 2HQ,https://www.dgft.nhs.uk,01384 456111 ext 2335,West Midlands,RNA
The Hillingdon Hospitals NHS Foundation Trust,cd37563d-4cb1-4ec4-b924-6b8485429180,NHS Trust/Health Board,Pield Heath Road,,Uxbridge,Greater London,United Kingdom,UB8 3NN,https://thh.nhs.uk/,01895 238282,North Thames,RAS
The Princess Alexandra Hospital NHS Trust,990abff8-4046-47f2-8945-1a6b6de5337c,NHS Trust/Health Board,Hamstel Road,,Harlow,Essex,United Kingdom,CM20 1QX,https://www.pah.nhs.uk/,+44 1279 444 455,East of England,RQW
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",aa992956-3d75-4a89-8c3f-91ca0cb44642,NHS Trust/Health Board,Queen Elizabeth Hospital King's Lynn,,Kings Lynn,Norfolk,United Kingdom,PE30 4ET,http://www.rmpd.org.uk/find_us/what_we_do_gateshead.htm,01553 613613 ext 2883,East of England,RCX
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,215c3c8c-2e59-45d8-a8ac-2f1d4ed5ef65,NHS Trust/Health Board,Twmpath Lane,,Gobowen,Shropshire,United Kingdom,SY10 7AG,https://www.rjah.nhs.uk/,01691 404000,Yorkshire and the Humber,RL1
The Rotherham NHS Foundation Trust,2a627db7-d8f9-423d-9ff1-9d2ede53348d,NHS Trust/Health Board,Rotherham Hospital,,Rotherham,South Yorkshire,United Kingdom,S60 2UD,http://www.alliancemedical.co.uk/scan-centres/jack-brignall-petct-centre,01709 304572,Yorkshire and the Humber,RFR
The Royal Marsden NHS Foundation Trust,75c73df5-9222-4e7c-8b77-bee8150b2443,NHS Trust/Health Board,"The Royal Marsden, Chelsea",Fulham Road,London,Greater London,United Kingdom,SW3 6JJ,https://www.royalmarsden.nhs.uk,020 7352 8171,South Thames,RPY
The Royal Wolverhampton NHS Trust,c8196ee2-f340-4d98-8aae-765e6579314a,NHS Trust/Health Board,New Cross Hospital,Wolverhampton Road,Wolverhampton,West Midlands,United Kingdom,WV10 0QP,https://www.royalwolverhampton.nhs.uk/,+44 1902 307 999,West Midlands,RL4
The Shrewsbury and Telford Hospital NHS Trust,cacce829-e3d1-47ab-9578-630e974bdbff,NHS Trust/Health Board,Royal Shrewsbury Hospital,,Shrewsbury,Shropshire,United Kingdom,SY3 8XQ,https://www.sath.nhs.uk/wards-services/az-services/nuclear-medicine/,01743 261 000,North Thames,RXW
Torbay and South Devon NHS Foundation Trust,c54fba05-15c5-4de5-bf21-4cd35779afdd,NHS Trust/Health Board,Torbay Hospital,,Torquay,Devon,United Kingdom,TQ2 7AA,https://www.torbayandsouthdevon.nhs.uk/visiting-us/torbay-hospital/,01803 655 640,South East & Wessex,RA9
United Lincolnshire Teaching Hospitals NHS Trust,e42f203e-bb8d-4455-b685-d6015783bdf7,NHS Trust/Health Board,Grantham and District Hospital,,Grantham,Nottinghamshire,United Kingdom,NG31 8DG,https://www.ulh.nhs.uk/services/nuclear-medicine/,01476 464777,East Midlands,RWD
University College London Hospitals NHS Foundation Trust,d87acd7d-1ab8-4256-bfef-02925934c002,NHS Trust/Health Board,250 Euston Road,,London,Greater London,United Kingdom,NW1 2PG,https://www.uclh.nhs.uk/,+44 2034 567 890,North Thames,RRV
University Hospital Southampton NHS Foundation Trust,c0a7b384-ade7-4f4f-9770-35ae70c4e8f9,NHS Trust/Health Board,Southampton General Hospital,Tremona Road,Southampton,Hampshire,United Kingdom,SO16 6YD,https://www.uhs.nhs.uk/,+44 2380 777 222,South East & Wessex,RHM
University Hospitals Birmingham NHS Foundation Trust,39db0af4-c842-433d-ad63-ddaea591e3eb,NHS Trust/Health Board,Birmingham Heartlands Hospital,Bordesley Green East,Birmingham,West Midlands,United Kingdom,B9 5SS,https://www.uhb.nhs.uk/hospitals/heartlands-hospital/,0121 424 0808,West Midlands,RRK
University Hospitals Coventry and Warwickshire NHS Trust,447c4fdd-bed3-4f11-9434-0ee3e9360cee,NHS Trust/Health Board,University Hospital Coventry,,Coventry,Warwickshire,United Kingdom,CV2 2DX,https://www.uhcw.nhs.uk/our-services-and-people/our-departments/nuclear-medicine/,02476968212,West Midlands,RKB
University Hospitals Dorset NHS Foundation Trust,fb61ad91-86cd-4e2c-8b0e-5a9435e37b72,NHS Trust/Health Board,Christchurch Hospital,,Christchurch,Dorset,United Kingdom,BH23 2JX,https://www.uhd.nhs.uk/services/nuclear-medicine,0300 019 2499,South East & Wessex,R0D
University Hospitals of Derby and Burton NHS Foundation Trust,b4bfb5ae-bd01-41e6-9564-3bf7eafbb7ab,NHS Trust/Health Board,Royal Derby Hospital,,Derby,Derbyshire,United Kingdom,DE22 3NE,https://www.uhdb.nhs.uk/,01332 788197,East Midlands,RTG
University Hospitals of Leicester NHS Trust,3b8f51b1-3ea7-4c47-ac4c-1d87faa62f4b,NHS Trust/Health Board,Glenfield Hospital,Groby Road,Leicester,Leicestershire,United Kingdom,LE3 9QP,http://www.leicestershospitals.nhs.uk/aboutus/departments-services/imaging-services/nuclear-medicine//medical-services/o-q/pathology-services/medical-physics/nuclear-medicine,0300 303 1573,East Midlands,RWE
University Hospitals of Morecambe Bay NHS Foundation Trust,3b0e9fb3-710f-4f5c-84c3-f0e1857c82b0,NHS Trust/Health Board,Furness General Hospital,,Barrow in Furness,Cumbria,United Kingdom,LA14 4LF,https://www.uhmb.nhs.uk/our-hospitals/royal-lancaster-infirmary,01229 870870 ext. 43993/43562/43857,North West,RTX
University Hospitals of North Midlands NHS Trust,cc6146ba-5d0f-41fd-89cf-df3a12ae7253,NHS Trust/Health Board,Royal Stoke University Hospital,Newcastle Road,Stoke-on-Trent,Staffordshire,United Kingdom,ST4 6QG,https://www.uhnm.nhs.uk/,+44 1782 715 444,West Midlands,RJE
University Hospitals Plymouth NHS Trust,ffbc9782-a52e-4b47-bc25-087825100395,NHS Trust/Health Board,Derriford Hospital,,Plymouth,Devon,United Kingdom,PL6 8DH,https://www.plymouthhospitals.nhs.uk/,01752 430222,South East & Wessex,RK9
University Hospitals Sussex NHS Foundation Trust,fa89ec7a-4fb8-4bcb-aa26-e751ccc2f02b,NHS Trust/Health Board,Princess Royal Hospital,,Haywards Heath,West Sussex,United Kingdom,RH16 4EX,https://www.uhsussex.nhs.uk/hospitals/princess-royal-hospital/,01444 441881,South East & Wessex,RYR
University of Cambridge,03d1b742-5b88-4529-b8bd-f0e7aadff6ae,University group,The Old Schools,Trinity Lane,Cambridge,Cambridgeshire,United Kingdom,CB2 1TN,https://www.cam.ac.uk/,01223 337733,East of England,
University of Edinburgh,9d03a427-e159-472f-bfbf-b9c492696287,University group,Old College,South Bridge,Edinburgh,City of Edinburgh,United Kingdom,EH8 9YL,https://www.ed.ac.uk/,0131 650 1000,Scotland,
University of Manchester,395e4dbb-2df5-471a-92d5-c734e99cbf84,University group,Oxford Road,,Manchester,Greater Manchester,United Kingdom,M13 9PL,https://www.manchester.ac.uk/,0161 306 6000,North West,
Velindre University NHS Trust,7156fe24-e7a8-4297-ba2c-bd3bb18f2606,NHS Trust/Health Board,Unit 2 Charnwood Court,Parc Nantgarw,Nantgarw,Rhondda Cynon Taf,United Kingdom,CF15 7QZ,https://velindre.nhs.wales/,029 2019 6161,South Wales,RQF
Walsall Healthcare NHS Trust,b84a8527-039c-4f70-9bad-7344cb9bc653,NHS Trust/Health Board,Manor Hospital Walsall,,Walsall,West Midlands,United Kingdom,WS2 9PS,,,West Midlands,RBK
West Hertfordshire Teaching Hospitals NHS Trust,adbb717c-f3e1-49d6-bc9b-e329728cf169,NHS Trust/Health Board,Hemel Hempstead Hospital,,Hemel Hempstead,Hertfordshire,United Kingdom,HP2 4AD,https://www.westhertshospitals.nhs.uk,01442 287429,North Thames,RWG
West Suffolk NHS Foundation Trust,666390c4-0934-47a4-ba6d-40df46c22906,NHS Trust/Health Board,West Suffolk Hospital,,Bury St Edmunds,Suffolk,United Kingdom,IP33 2QZ,https://www.wsh.nhs.uk,01284 713379,East of England,RGR
Western Health and Social Care Trust,b55003a8-b2c7-4bb3-b798-f2994a1b0769,NHS Trust/Health Board,Altnagelvin Area Hospital,,Londonderry,Londonderry,United Kingdom,BT47 6SB,https://westerntrust.hscni.net/hospitals/altnagelvin-area-hospital/,02871 611 347,Northern Ireland,WHSCT
Whittington Health NHS Trust,167e7797-1e79-403b-83d2-c478781e1e88,NHS Trust/Health Board,Whittington Hospital,,London,Greater London,United Kingdom,N19 5NF,,020 7288 5517,North Thames,RKE
Wirral University Teaching Hospital NHS Foundation Trust,775a1122-5146-467b-9f94-c61f7d31f366,NHS Trust/Health Board,Clatterbridge Hospital,,Bebington,Merseyside,United Kingdom,CH63 4JY,http://www.clatterbridgecc.nhs.uk/default.aspx,0151 334 1155,North West,RBL
Worcestershire Acute Hospitals NHS Trust,61910048-586c-4a9b-a5be-89479ec5ccc9,NHS Trust/Health Board,Worcestershire Royal Hospital,Charles Hastings Way,Worcester,Worcestershire,United Kingdom,WR5 1DD,,01905 760640,West Midlands,RWP
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",7990ab01-c08f-4e96-9cca-32191e622060,NHS Trust/Health Board,Royal Albert Edward Infirmary,Wigan Lane,Wigan,Greater Manchester,United Kingdom,WN1 2NN,https://www.wwl.nhs.uk/,+44 1942 244 000,North West,RRF
Wye Valley NHS Trust,af932c0f-4c89-4d57-8eee-bfb285e3bd95,NHS Trust/Health Board,Hereford County Hospital,Stonebow Road,Hereford,Herefordshire,United Kingdom,HR1 2ER,https://www.wyevalley.nhs.uk/,+44 1432 355 444,West Midlands,RLQ
York and Scarborough Teaching Hospitals NHS Foundation Trust,427f1a66-c13d-44cb-9173-093429f53575,NHS Trust/Health Board,York Hospital,Wigginton Road,York,North Yorkshire,United Kingdom,YO31 8HE,https://www.yorkhospitals.nhs.uk/,+44 1904 631 313,Yorkshire and the Humber,RCB
